date,hospital_padronizado,cidade,especialidade,tipo_alerta,count,year,month,day_of_week
2025-08-11,POLICLÍNICA BERNARDO FÉLIX DA SILVA,Sobral,ALERGIA E IMUNOLOGIA,Agendamentos,9,2025,8,Monday
2025-08-11,POLICLÍNICA BERNARDO FÉLIX DA SILVA,Sobral,ALERGIA E IMUNOLOGIA,Pré 10 dias,5,2025,8,Monday
2025-08-11,HOSPITAL DE MESSEJANA,Fortaleza,AMBULATORIO POS OPERATORIO,Agendamentos,20,2025,8,Monday
2025-08-11,HOSPITAL DE MESSEJANA,Fortaleza,AMBULATORIO POS OPERATORIO,Pré 2 dias,8,2025,8,Monday
2025-08-11,HOSPITAL ESTADUAL LEONARDO DA VINCI,Fortaleza,ANESTESIOLOGIA,Agendamentos,46,2025,8,Monday
2025-08-11,HOSPITAL ESTADUAL LEONARDO DA VINCI,Fortaleza,ANESTESIOLOGIA,Pré 10 dias,30,2025,8,Monday
2025-08-11,HOSPITAL ESTADUAL LEONARDO DA VINCI,Fortaleza,ANESTESIOLOGIA,Pré 2 dias,15,2025,8,Monday
2025-08-11,HOSPITAL GERAL FORTALEZA,Fortaleza,ANESTESIOLOGIA,Agendamentos,17,2025,8,Monday
2025-08-11,HOSPITAL GERAL FORTALEZA,Fortaleza,ANESTESIOLOGIA,Pré 10 dias,10,2025,8,Monday
2025-08-11,HOSPITAL UNIVERSITÁRIO DO CEARÁ,Fortaleza,ANESTESIOLOGIA,Agendamentos,51,2025,8,Monday
2025-08-11,HOSPITAL UNIVERSITÁRIO DO CEARÁ,Fortaleza,ANESTESIOLOGIA,Pré 10 dias,11,2025,8,Monday
2025-08-11,HOSPITAL UNIVERSITÁRIO DO CEARÁ,Fortaleza,ANESTESIOLOGIA,Pré 2 dias,31,2025,8,Monday
2025-08-11,HOSPITAL GERAL FORTALEZA,Fortaleza,ANESTESIOLOGIA - AMBULATORIO DE DOR,Agendamentos,7,2025,8,Monday
2025-08-11,HOSPITAL GERAL FORTALEZA,Fortaleza,ANESTESIOLOGIA - AMBULATORIO DE DOR,Pré 2 dias,10,2025,8,Monday
2025-08-11,POLICLÍNICA DR. MANOEL CARLOS DE GOUVEA,Igatu,ANGIOLOGIA,Agendamentos,2,2025,8,Monday
2025-08-11,POLICLÍNICA DRA MARCIA MOREIRA DE MENESES,Pacajus,ANGIOLOGIA,Pré 2 dias,14,2025,8,Monday
2025-08-11,POLICLÍNICA REGIONAL DR. JOSÉ CORREIA SALES,Caucaia,ANGIOLOGIA,Agendamentos,10,2025,8,Monday
2025-08-11,HOSPITAL DE MESSEJANA,Fortaleza,ARRITMOLOGIA,Agendamentos,81,2025,8,Monday
2025-08-11,HOSPITAL DE MESSEJANA,Fortaleza,ARRITMOLOGIA,Pré 10 dias,19,2025,8,Monday
2025-08-11,HOSPITAL DE MESSEJANA,Fortaleza,ARRITMOLOGIA,Pré 2 dias,17,2025,8,Monday
2025-08-11,HOSPITAL DE MESSEJANA,Fortaleza,CARDIOLOGIA,Agendamentos,83,2025,8,Monday
2025-08-11,HOSPITAL DE MESSEJANA,Fortaleza,CARDIOLOGIA,Pré 10 dias,66,2025,8,Monday
2025-08-11,HOSPITAL DE MESSEJANA,Fortaleza,CARDIOLOGIA,Pré 2 dias,80,2025,8,Monday
2025-08-11,HOSPITAL ESTADUAL LEONARDO DA VINCI,Fortaleza,CARDIOLOGIA,Agendamentos,18,2025,8,Monday
2025-08-11,HOSPITAL ESTADUAL LEONARDO DA VINCI,Fortaleza,CARDIOLOGIA,Pré 2 dias,21,2025,8,Monday
2025-08-11,HOSPITAL GERAL FORTALEZA,Fortaleza,CARDIOLOGIA,Agendamentos,49,2025,8,Monday
2025-08-11,HOSPITAL GERAL FORTALEZA,Fortaleza,CARDIOLOGIA,Pré 2 dias,13,2025,8,Monday
2025-08-11,HOSPITAL REGIONAL VALE DO JAGUARIBE,Limoeiro do Norte,CARDIOLOGIA,Agendamentos,18,2025,8,Monday
2025-08-11,HOSPITAL REGIONAL VALE DO JAGUARIBE,Limoeiro do Norte,CARDIOLOGIA,Pré 2 dias,6,2025,8,Monday
2025-08-11,HOSPITAL SÃO JOSÉ DE DOENÇAS INFECCIOSAS,Fortaleza,CARDIOLOGIA,Pré 2 dias,8,2025,8,Monday
2025-08-11,HOSPITAL UNIVERSITÁRIO DO CEARÁ,Fortaleza,CARDIOLOGIA,Agendamentos,79,2025,8,Monday
2025-08-11,HOSPITAL UNIVERSITÁRIO DO CEARÁ,Fortaleza,CARDIOLOGIA,Pré 10 dias,9,2025,8,Monday
2025-08-11,HOSPITAL UNIVERSITÁRIO DO CEARÁ,Fortaleza,CARDIOLOGIA,Pré 2 dias,20,2025,8,Monday
2025-08-11,POLICLÍNICA BÁRBARA PEREIRA DE ALENCAR,Campos Sales,CARDIOLOGIA,Pré 2 dias,11,2025,8,Monday
2025-08-11,POLICLÍNICA BERNARDO FÉLIX DA SILVA,Sobral,CARDIOLOGIA,Pré 2 dias,27,2025,8,Monday
2025-08-11,POLICLÍNICA CORONEL LIBÓRIO G. SILVA,Camocim,CARDIOLOGIA,Agendamentos,1,2025,8,Monday
2025-08-11,POLICLÍNICA CORONEL LIBÓRIO G. SILVA,Camocim,CARDIOLOGIA,Pré 10 dias,31,2025,8,Monday
2025-08-11,POLICLÍNICA DR. CLOVIS AMORA VASCONCELOS BATURITE,Baturité,CARDIOLOGIA,Agendamentos,3,2025,8,Monday
2025-08-11,POLICLÍNICA DR. FRANCISCO CARLOS CAVALCANTE ROQUE,Quixadá,CARDIOLOGIA,Pré 10 dias,18,2025,8,Monday
2025-08-11,POLICLÍNICA DR. FRANCISCO PINHEIRO ALVES,Itapipoca,CARDIOLOGIA,Agendamentos,6,2025,8,Monday
2025-08-11,POLICLÍNICA DR. FRUTUOSO GOMES DE FREITAS,Tauá,CARDIOLOGIA,Pré 10 dias,10,2025,8,Monday
2025-08-11,POLICLÍNICA DR. JOSÉ MARTINS DE SANTIAGO,Russas,CARDIOLOGIA,Agendamentos,9,2025,8,Monday
2025-08-11,POLICLÍNICA DR. JOSÉ MARTINS DE SANTIAGO,Russas,CARDIOLOGIA,Pré 2 dias,37,2025,8,Monday
2025-08-11,POLICLÍNICA DR. MANOEL CARLOS DE GOUVEA,Igatu,CARDIOLOGIA,Pré 2 dias,11,2025,8,Monday
2025-08-11,POLICLÍNICA DR. SEBASTIÃO LIMEIRA GUEDES,Icó,CARDIOLOGIA,Agendamentos,4,2025,8,Monday
2025-08-11,POLICLÍNICA DR. SEBASTIÃO LIMEIRA GUEDES,Icó,CARDIOLOGIA,Pré 10 dias,22,2025,8,Monday
